company_id,year,npm_pct,opm_pct,roe_pct,roce_pct,source_opm,opm_difference,opm_validation
NHPC,2019-03,31.570744740064566,55.449181787821445,9.208390155204883,9.989170543879352,55.0,0.4491817878214448,PASS
NHPC,2020-03,33.42326139088729,54.416466826538766,10.659316146712978,9.973080374310985,54.0,0.4164668265387661,PASS
NHPC,2021-03,37.3134328358209,54.69527363184079,10.891598342056696,9.353397851749442,55.0,0.3047263681592085,PASS
NHPC,2022-03,41.272965879265094,43.88670166229222,10.807250651470463,6.576855630398086,44.0,0.11329833770778208,PASS
NHPC,2023-03,40.17158480248892,58.30112190063166,11.5283677389681,9.299108284085953,58.0,0.30112190063165656,PASS
NHPC,2024-03,41.81893687707641,49.90656146179402,10.407730866621879,6.745435920463634,50.0,0.09343853820598014,PASS
NTPC,2013-03,17.598366844710423,25.376828211079726,15.492368291482029,11.966978550564095,25.0,0.37682821107972586,PASS
NTPC,2014-03,14.557640750670242,25.184475935146178,13.057518121128147,11.687719215091478,25.0,0.18447593514617822,PASS
NTPC,2015-03,12.496716985379642,21.70166464474655,12.171413257972569,9.412734748787607,22.0,0.29833535525344956,PASS
NTPC,2016-03,14.688811379366722,25.298381383181646,11.772863772863772,9.721516866580453,25.0,0.29838138318164553,PASS
NTPC,2017-03,13.059164818020038,26.32554057677775,10.950755330239783,10.206463747158702,26.0,0.32554057677775106,PASS
NTPC,2018-03,11.922845497996208,25.52705970505092,10.140687311105317,9.624933650668629,26.0,0.47294029494907974,PASS
NTPC,2019-03,13.993837685841633,22.645008824673187,12.602710202322262,7.984810927693688,23.0,0.3549911753268127,PASS
NTPC,2020-03,10.872981071402469,28.855148724694878,10.015146415348369,9.814681316495973,29.0,0.14485127530512187,PASS
NTPC,2021-03,13.421380602702387,30.524248863544667,11.904818711775981,10.13374133419855,31.0,0.47575113645533307,PASS
NTPC,2022-03,12.7836947591374,30.42308301110282,12.528255056362376,11.66258766011425,30.0,0.4230830111028183,PASS
NTPC,2023-03,9.716413082340656,27.011412713456334,11.645116750440407,12.866009255655031,27.0,0.01141271345633399,PASS
NTPC,2024-03,11.950633329785267,28.82672926202094,13.273598407068633,12.933810240774582,29.0,0.17327073797905967,PASS
